Method,Seqlen(k),Nodes,Throughput(TFLOPS/s),Tokens/s
Ulysses,512,4,125.4205204337787,271.0
Burst+Ulysses+ZeRO3,512,4,130.01618747402748,280.93
Burst+Ulysses,512,4,132.3626156607406,286.0
Burst+Double+ZeRO3,512,4,125.93423548057388,272.11
Burst+Double,512,4,126.80893947917107,274.0
Burst+intraUlysses+ZeRO3,512,4,132.64492753330373,286.61
megatron-cp,512,4,109.00015119027144,235.52
Burst+Ulysses+ZeRO3,256,4,122.37659636571833,486.2
Burst+Double+ZeRO3,256,4,109.99295066190642,437.0
Burst+intraUlysses+ZeRO3,256,4,124.5387003615668,494.79
megatron-cp,256,4,82.25559788629525,326.8
Burst+Ulysses+ZeRO3,128,4,108.51853166098515,742.53
Burst+Double+ZeRO3,128,4,96.58562913836728,660.88
megatron-cp,128,4,47.509466650981174,325.08
Ulysses,128,4,114.72977914673234,785.03
Ulysses,256,4,124.1208781691211,493.13
Ulysses,512,4,126.04993706768992,272.36
Burst+intraUlysses+ZeRO3,128,4,113.88943389866066,779.28
